IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.31.1.89,pma48.trabalho_vulnnet,80,tcp,10.0,Critical,30,"VendorFix","PHP End of Life (EOL) Detection - Linux","The PHP version on the remote host has reached the end of life
  (EOL) and should not be used anymore.","The ""PHP"" version on the remote host has reached the end of life.

CPE:               cpe:/a:php:php:7.2.14
Installed version: 7.2.14
EOL version:       7.2
EOL date:          2020-11-30
",1.3.6.1.4.1.25623.1.0.105889,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:38:14Z,d17d889a-40f4-4009-adec-6bfeca364acf,"An EOL version of PHP is not receiving any security updates from
  the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise the
  security of this host.","Update the PHP version on the remote host to a still supported
  version.","","Each release branch of PHP is fully supported for two years from
  its initial stable release. During this period, bugs and security issues that have been reported
  are fixed and are released in regular point releases.

  After this two year period of active support, each branch is then supported for an additional year
  for critical security issues only. Releases during this period are made on an as-needed basis:
  there may be multiple point releases, or none, depending on the number of reports.

  Once the three years of support are completed, the branch reaches its end of life and is no longer
  supported.","Checks if an EOL version is present on the target host.
Details:
PHP End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.105889)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:7.2.14
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","",""
172.31.1.89,pma48.trabalho_vulnnet,80,tcp,10.0,Critical,30,"VendorFix","phpMyAdmin End of Life (EOL) Detection - Linux","The phpMyAdmin version on the remote host has reached the End of Life (EOL) and should not be used anymore.","The ""phpMyAdmin"" version on the remote host has reached the end of life.

CPE:               cpe:/a:phpmyadmin:phpmyadmin:4.8.5
Installed version: 4.8.5
Location/URL:      /
EOL version:       4.8
EOL date:          2019-06-04
",1.3.6.1.4.1.25623.1.0.113015,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:38:14Z,7728943a-8860-4e92-bd94-7b90d6f73e0c,"An EOL version of phpMyAdmin is not receiving any security updates from the vendor. Unfixed security vulnerabilities
  might be leveraged by an attacker to compromise the security of this host.","Update the phpMyAdmin version on the remote host to a still supported version.","","","Checks if an EOL version is present on the target host.
Details:
phpMyAdmin End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.113015)
Version used: 2025-04-15T05:54:49Z
","","","",""
172.31.1.89,pma48.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux","PHP is prone to multiple vulnerabilities.","Installed version: 7.2.14
Fixed version:     7.4.33
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.148830,"CVE-2022-31630,CVE-2022-37454",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:38:14Z,1fc0a830-8aa3-445e-bffe-b9582081274b,"","Update to version 7.4.33, 8.0.25, 8.1.12 or later.","PHP prior to version 7.4.33, version 8.0.x through 8.0.24 and
  8.1.x through 8.1.11.","The following vulnerabilities exist:

  - CVE-2022-31630: OOB read due to insufficient input validation in imageloadfont()

  - CVE-2022-37454: Buffer overflow in hash_update() on long parameter","Checks if a vulnerable version is present on the target host.
Details:
PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux
(OID: 1.3.6.1.4.1.25623.1.0.148830)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:7.2.14
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2026-0215,DFN-CERT-2023-0552,DFN-CERT-2023-0422,DFN-CERT-2023-0028,DFN-CERT-2022-2869,DFN-CERT-2022-2793,DFN-CERT-2022-2715,DFN-CERT-2022-2639,DFN-CERT-2022-2638,DFN-CERT-2022-2598,DFN-CERT-2022-2535,DFN-CERT-2022-2523,DFN-CERT-2022-2420,DFN-CERT-2022-2380,WID-SEC-2023-1021,WID-SEC-2023-0561,WID-SEC-2023-0138,WID-SEC-2022-1934,WID-SEC-2022-1816",""
172.31.1.89,pma48.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 7.1.33, 7.2.x < 7.2.24, 7.3.x < 7.3.11 RCE Vulnerability - Version Check","PHP is prone to a remote code execution (RCE) vulnerability in
  certain nginx + php-fpm configurations.","Installed version: 7.2.14
Fixed version:     7.2.24
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.108692,"CVE-2019-11043",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:38:14Z,3325ae8d-e39a-49b9-abbc-a24045abc8fd,"Successful exploitation would allow an unauthenticated remote
  attacker to execute arbitrary code on the target machine.","Update to version 7.1.33, 7.2.24, 7.3.11 or later.

  As an alternative a workaround to update the nginx configuration to mitigate this vulnerability is
  described at the PHP.net bugtracker linked in the references.","PHP prior to version 7.1.33, 7.2.x prior to 7.2.24 and 7.3.x
  prior to 7.3.11.","The file sapi/fpm/fpm/fpm_main.c contains pointer arithmetic
  that assumes that env_path_info has a prefix equal to the path to the php script. However, the
  code does not check this assumption is satisfied. The absence of the check can lead to an invalid
  pointer in the 'path_info' variable.

  Such conditions can be achieved in a pretty standard Nginx configuration. The regexp in
  `fastcgi_split_path_info` directive can be broken using the newline character (in encoded form,
  %0a). Broken regexp leads to empty PATH_INFO, which triggers the bug.","Checks if a vulnerable version is present on the target host.
Details:
PHP < 7.1.33, 7.2.x < 7.2.24, 7.3.x < 7.3.11 RCE Vulnerability - Version Che...
(OID: 1.3.6.1.4.1.25623.1.0.108692)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:7.2.14
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2022-2638,DFN-CERT-2020-0415,DFN-CERT-2020-0193,DFN-CERT-2019-2283,DFN-CERT-2019-2206,WID-SEC-2022-0418,CB-K20/0081,CB-K19/0943",""
172.31.1.89,pma48.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","phpMyAdmin < 4.9.6, 5.x < 5.0.3 Multiple Vulnerabilities (PMASA-2020-5, PMASA-2020-6) - Linux","phpMyAdmin is prone to multiple vulnerabilities.","Installed version: 4.8.5
Fixed version:     4.9.6
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.144896,"CVE-2020-26934,CVE-2020-26935",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:38:14Z,80540f69-50c4-4efd-b29a-71082d57c4d2,"Successful exploitation would allow an attacker to:

  - If an attacker sends a crafted link to the victim with the malicious JavaScript, when the victim clicks on the
    link, the JavaScript will run and complete the instructions made by the attacker (CVE-2020-26934)

  - An attacker could use this flaw to inject malicious SQL in to a query (CVE-2020-26935)","Update to version 4.9.6, 5.0.3 or later.","phpMyAdmin prior to version 4.9.6 and 5.x prior to 5.0.3.","The following vulnerabilities exist:

  - XSS relating to the transformation feature (CVE-2020-26934)

  - SQL injection vulnerability in SearchController (CVE-2020-26935)","Checks if a vulnerable version is present on the target host.
Details:
phpMyAdmin < 4.9.6, 5.x < 5.0.3 Multiple Vulnerabilities (PMASA-2020-5, PMAS...
(OID: 1.3.6.1.4.1.25623.1.0.144896)
Version used: 2024-02-13T05:06:26Z
","","","DFN-CERT-2020-2526,DFN-CERT-2020-2366,DFN-CERT-2020-2322,DFN-CERT-2020-2220,CB-K20/0969",""
172.31.1.89,pma48.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","phpMyAdmin < 4.9.2 Multiple Vulnerabilities (PMASA-2019-5) - Linux","phpMyAdmin is prone to multiple vulnerabilities.","Installed version: 4.8.5
Fixed version:     4.9.2
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.143167,"CVE-2019-18622,CVE-2019-19617",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:38:14Z,dba299d9-38bc-4e7c-9331-bae9e180b6d9,"","Update to version 4.9.2 or later.","phpMyAdmin prior to version 4.9.2.","phpMyAdmin is prone to multiple vulnerabilities:

  - SQL injection vulnerability (CVE-2019-18622)

  - Certain Git information is not escaped (CVE-2019-19617)","Checks if a vulnerable version is present on the target host.
Details:
phpMyAdmin < 4.9.2 Multiple Vulnerabilities (PMASA-2019-5) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.143167)
Version used: 2024-02-13T05:06:26Z
","","","DFN-CERT-2020-2322,DFN-CERT-2020-0488,DFN-CERT-2020-0089,DFN-CERT-2019-2577,DFN-CERT-2019-2465,CB-K20/0214,CB-K19/1043,CB-K19/1016",""
172.31.1.89,pma48.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 8.0.30, 8.1.x < 8.1.22, 8.2.x < 8.2.9 Security Update - Linux","PHP is prone to multiple vulnerabilities.","Installed version: 7.2.14
Fixed version:     8.0.30
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.170529,"CVE-2023-3823,CVE-2023-3824",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:38:14Z,c9bf0cd5-6716-4e06-bec7-a7a77c8a82a5,"","Update to version 8.0.30, 8.1.22, 8.2.9 or later.","PHP prior to version 8.0.30, 8.1.x prior to 8.1.22 and 8.2.x
  prior to 8.2.9.","The following flaws exist:

  - CVE-2023-3823: Fixed bug GHSA-3qrf-m4j2-pcrr (Security issue with external entity loading in XML
  without enabling it)

  - CVE-2023-3824: Fixed bug GHSA-jqcx-ccgc-xwhv (Buffer mismanagement in phar_dir_read())","Checks if a vulnerable version is present on the target host.
Details:
PHP < 8.0.30, 8.1.x < 8.1.22, 8.2.x < 8.2.9 Security Update - Linux
(OID: 1.3.6.1.4.1.25623.1.0.170529)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:7.2.14
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2024-3330,DFN-CERT-2024-2681,DFN-CERT-2024-0993,DFN-CERT-2023-2570,DFN-CERT-2023-2542,DFN-CERT-2023-1775,WID-SEC-2023-2917,WID-SEC-2023-2679,WID-SEC-2023-1970",""
172.31.1.89,pma48.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Linux","PHP is prone to multiple vulnerabilities.","Installed version: 7.2.14
Fixed version:     8.1.29
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.152369,"CVE-2024-4577,CVE-2024-5458,CVE-2024-5585",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:38:14Z,da9c142d-63b6-4519-8e70-40a755cd515b,"","Update to version 8.1.29, 8.2.20, 8.3.8 or later.","PHP prior to version 8.1.29, version 8.2.x through 8.2.19 and
  8.3.x through 8.3.7.","The following vulnerabilities exist:

  - CVE-2024-4577: Argument injection in PHP-CGI (bypass of CVE-2012-1823)

  - CVE-2024-5458: Filter bypass in filter_var FILTER_VALIDATE_URL

  - CVE-2024-5585: Bypass of CVE-2024-1874

  Note: As of 06/2024 the CVEs CVE-2024-4577 and CVE-2024-5585 are known to be exploitable on
  Windows systems only.","Checks if a vulnerable version is present on the target host.
Details:
PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.152369)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:7.2.14
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2025-1211,DFN-CERT-2024-3330,DFN-CERT-2024-3329,DFN-CERT-2024-2707,DFN-CERT-2024-1853,DFN-CERT-2024-1586,DFN-CERT-2024-1574,DFN-CERT-2024-1563,DFN-CERT-2024-1476,WID-SEC-2024-3196,WID-SEC-2024-3195,WID-SEC-2024-1320",""
172.31.1.89,pma48.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 8.1.31, 8.2.x < 8.2.26, 8.3.x < 8.3.14 Multiple Vulnerabilities - Linux","PHP is prone to multiple vulnerabilities.","Installed version: 7.2.14
Fixed version:     8.1.31
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.153495,"CVE-2024-8929,CVE-2024-8932,CVE-2024-11233,CVE-2024-11234,CVE-2024-11236",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:38:14Z,6664d916-43b9-483f-8477-c36777a125d3,"","Update to version 8.1.31, 8.2.26, 8.3.14 or later.","PHP versions prior to 8.1.31, 8.2.x prior to 8.2.26 and 8.3.x
  prior to 8.3.14.","The following vulnerabilities exist:

  - CVE-2024-8929: Leak partial content of the heap through heap buffer over-read

  - CVE-2024-8932: OOB access in ldap_escape

  - CVE-2024-11233: Single byte overread with convert.quoted-printable-decode filter

  - CVE-2024-11234: Configuring a proxy in a stream context might allow for CRLF injection in URIs

  - CVE-2024-11236: Integer overflow in the firebird/dblib quoter causing OOB writes

  - No CVE: Heap-Use-After-Free in sapi_read_post_data Processing in CLI SAPI Interface","Checks if a vulnerable version is present on the target host.
Details:
PHP < 8.1.31, 8.2.x < 8.2.26, 8.3.x < 8.3.14 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.153495)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:7.2.14
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2025-1211,DFN-CERT-2025-1082,DFN-CERT-2025-0179,DFN-CERT-2024-3200,DFN-CERT-2024-3172,DFN-CERT-2024-3108,WID-SEC-2024-3519",""
172.31.1.89,pma48.trabalho_vulnnet,80,tcp,9.8,Critical,30,"VendorFix","PHP < 8.1.32, 8.2.x < 8.2.28 Multiple Vulnerabilities - Linux","PHP is prone to multiple vulnerabilities.","Installed version: 7.2.14
Fixed version:     8.1.32
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.154187,"CVE-2025-1217,CVE-2025-1219,CVE-2025-1734,CVE-2025-1736,CVE-2025-1861",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T03:38:14Z,2753f4c8-b973-4194-b521-b25b4da69a41,"","Update to version 8.1.32, 8.2.28 or later.","PHP versions prior to 8.1.32, and 8.2.x prior to 8.2.28.","The following vulnerabilities exist:

  - CVE-2025-1217: Header parser of 'http' stream wrapper does not handle folded headers

  - CVE-2025-1219: libxml streams use wrong 'content-type' header when requesting a redirected
  resource

  - CVE-2025-1734: Streams HTTP wrapper does not fail for headers without colon

  - CVE-2025-1736: Stream HTTP wrapper header check might omit basic auth header

  - CVE-2025-1861: Stream HTTP wrapper truncate redirect location to 1024 bytes","Checks if a vulnerable version is present on the target host.
Details:
PHP < 8.1.32, 8.2.x < 8.2.28 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.154187)
Version used: 2025-09-24T05:39:03Z
","Product: cpe:/a:php:php:7.2.14
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","","DFN-CERT-2025-1939,DFN-CERT-2025-1082,DFN-CERT-2025-0665,WID-SEC-2025-0566",""
