IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.31.1.65,es56.trabalho_vulnnet,9200,tcp,10.0,Critical,80,"VendorFix","Elastic Elasticsearch Multiple Log4j Vulnerabilities (ESA-2021-31, Log4Shell) - Version Check","Elastic Elasticsearch is prone to multiple vulnerabilities in
  the Apache Log4j library.","Installed version: 5.6.16
Fixed version:     6.8.21
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.117838,"CVE-2021-44228,CVE-2021-45046",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,1b6d5889-cb3e-42fc-9405-70acb54a3177,"Please note the following vendor statement on the impact:

  Elasticsearch 6 and 7 are not susceptible to remote code execution with this vulnerability due to
  our use of the Java Security Manager. Elasticsearch running on JDK8 or below is susceptible to an
  information leak via DNS.

  Elasticsearch 5 is susceptible to both remote code execution and an information leak via DNS.

  To avoid unknown risks it is still recommended to apply the update provided by the vendor.","Update to version 6.8.21, 7.16.1 or later.","Elastic Elasticsearch version 5.x through 7.x.","The following vulnerabilities exist:

  CVE-2021-44228: Apache Log4j2 JNDI features used in configuration, log messages, and parameters do
  not protect against attacker controlled LDAP and other JNDI related endpoints. An attacker who can
  control log messages or log message parameters can execute arbitrary code loaded from LDAP servers
  when message lookup substitution is enabled. This vulnerability is dubbed 'Log4Shell'.

  CVE-2021-45046: Denial of Service (DoS) and a possible remote code execution (RCE) in certain
  non-default configurations.","Checks if a vulnerable version is present on the target host.
Details:
Elastic Elasticsearch Multiple Log4j Vulnerabilities (ESA-2021-31, Log4Shell...
(OID: 1.3.6.1.4.1.25623.1.0.117838)
Version used: 2025-09-03T08:26:15Z
","","","DFN-CERT-2025-2802,DFN-CERT-2025-0477,DFN-CERT-2025-0476,DFN-CERT-2022-1813,DFN-CERT-2022-0805,DFN-CERT-2022-0591,DFN-CERT-2022-0153,DFN-CERT-2022-0146,DFN-CERT-2022-0096,DFN-CERT-2022-0081,DFN-CERT-2022-0074,DFN-CERT-2022-0068,DFN-CERT-2022-0008,DFN-CERT-2021-2666,DFN-CERT-2021-2634,DFN-CERT-2021-2633,DFN-CERT-2021-2624,DFN-CERT-2021-2623,DFN-CERT-2021-2620,DFN-CERT-2021-2619,DFN-CERT-2021-2616,DFN-CERT-2021-2598,DFN-CERT-2021-2588,DFN-CERT-2021-2585,DFN-CERT-2021-2582,DFN-CERT-2021-2581,DFN-CERT-2021-2576,WID-SEC-2024-0064,WID-SEC-2023-0063,WID-SEC-2022-1175,WID-SEC-2022-1015,WID-SEC-2022-0352,WID-SEC-2022-0351,CB-K22/0285,CB-K22/0148,CB-K22/0029,CB-K21/1283,CB-K21/1264",""
172.31.1.65,es56.trabalho_vulnnet,9200,tcp,10.0,Critical,80,"VendorFix","Elasticsearch End of Life (EOL) Detection","The Elasticsearch version on the remote host has reached
  the End of Life (EOL) and should not be used anymore.","The ""Elasticsearch"" version on the remote host has reached the end of life.

CPE:               cpe:/a:elastic:elasticsearch:5.6.16
Installed version: 5.6.16
EOL version:       5.6
EOL date:          2019-03-11
",1.3.6.1.4.1.25623.1.0.113131,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,bfa8c31d-a7cf-47c3-9cab-d606b4eaef91,"An EOL version of Elasticsearch is not receiving any security
  updates from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to
  compromise the security of this host.","Update Elasticsearch to a version that still receives technical support and updates.","","","Checks if an EOL version is present on the target host.
Details:
Elasticsearch End of Life (EOL) Detection
(OID: 1.3.6.1.4.1.25623.1.0.113131)
Version used: 2025-09-03T08:26:15Z
","","","",""
172.31.1.65,es56.trabalho_vulnnet,9200,tcp,9.0,Critical,80,"VendorFix","Elastic Elasticsearch Multiple Log4j Vulnerabilities (Dec 2021)","Elastic Elasticsearch is prone to multiple vulnerabilities in
  the Apache Log4j library.","Installed version: 5.6.16
Fixed version:     6.8.22
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.117851,"CVE-2021-45046,CVE-2021-45105",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,659eaefc-7187-44d9-b827-1d374c28c204,"The vendor states that there is no impact in all currently
  supported versions with default configurations. To avoid unknown risks it is still recommended to
  apply the updates or workarounds provided by the vendor.","Update to version 6.8.22, 7.16.2 or later.","Elastic Elasticsearch version 5.x through 7.x.","The following vulnerabilities exist:

  CVE-2021-45046: Denial of Service (DoS) and a possible remote code execution (RCE) in certain
  non-default configurations.

  CVE-2021-45105: Apache Log4j2 did not protect from uncontrolled recursion from self-referential
  lookups. When the logging configuration uses a non-default Pattern Layout with a Context Lookup
  (for example, $${ctx:loginId}), attackers with control over Thread Context Map (MDC) input data
  can craft malicious input data that contains a recursive lookup, resulting in a StackOverflowError
  that will terminate the process.","Checks if a vulnerable version is present on the target host.
Details:
Elastic Elasticsearch Multiple Log4j Vulnerabilities (Dec 2021)
(OID: 1.3.6.1.4.1.25623.1.0.117851)
Version used: 2025-09-03T08:26:15Z
","","","DFN-CERT-2026-0205,DFN-CERT-2025-2802,DFN-CERT-2025-0477,DFN-CERT-2025-0476,DFN-CERT-2022-1813,DFN-CERT-2022-0805,DFN-CERT-2022-0197,DFN-CERT-2022-0156,DFN-CERT-2022-0153,DFN-CERT-2022-0146,DFN-CERT-2022-0119,DFN-CERT-2022-0096,DFN-CERT-2022-0085,DFN-CERT-2022-0074,DFN-CERT-2022-0068,DFN-CERT-2022-0057,DFN-CERT-2022-0008,DFN-CERT-2021-2674,DFN-CERT-2021-2666,DFN-CERT-2021-2647,DFN-CERT-2021-2633,DFN-CERT-2021-2598,DFN-CERT-2021-2585,DFN-CERT-2021-2581,DFN-CERT-2021-2576,WID-SEC-2026-0162,WID-SEC-2023-0119,WID-SEC-2023-0063,WID-SEC-2022-1189,WID-SEC-2022-1175,WID-SEC-2022-1015,WID-SEC-2022-0811,WID-SEC-2022-0624,WID-SEC-2022-0352,CB-K22/0285,CB-K22/0148,CB-K21/1297,CB-K21/1283",""
172.31.1.65,es56.trabalho_vulnnet,9200,tcp,8.1,High,30,"VendorFix","Elastic Elasticsearch < 6.3.0 Information Exposure Vulnerability (ESA-2018-11)","Elasticsearch is prone to an information exposure vulnerability.","Installed version: 5.6.16
Fixed version:     6.3.0
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.117168,"CVE-2018-3827",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,9f37d05e-15ba-401c-b455-6b14e7f9a2b3,"When the repository-azure plugin is set to log at TRACE level Azure
  credentials can be inadvertently logged.","Update to version 6.3.0 or later.","Elasticsearch prior to version 6.3.0.","A sensitive data disclosure flaw was found in the Elasticsearch
  repository-azure (formerly elasticsearch-cloud-azure) plugin.","Checks if a vulnerable version is present on the target host.
Details:
Elastic Elasticsearch < 6.3.0 Information Exposure Vulnerability (ESA-2018-1...
(OID: 1.3.6.1.4.1.25623.1.0.117168)
Version used: 2025-09-03T08:26:15Z
","","","",""
172.31.1.65,es56.trabalho_vulnnet,9200,tcp,6.5,Medium,80,"VendorFix","Elastic Elasticsearch DoS Vulnerability (ESA-2021-15)","Elasticsearch is prone to a denial of service (DoS) vulnerability.","Installed version: 5.6.16
Fixed version:     6.8.17
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.146386,"CVE-2021-22144",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,dd755f4e-fc4a-4bda-83f7-ff181bd72bb5,"","Update to version 6.8.17, 7.13.3 or later.","Elasticsearch prior to version 6.8.17 and 7.x prior to 7.13.3.","An uncontrolled recursion vulnerability that could lead to a
  denial of service attack was identified in the Elasticsearch Grok parser. A user with the ability
  to submit arbitrary queries to Elasticsearch could create a malicious Grok query that will crash
  the Elasticsearch node.","Checks if a vulnerable version is present on the target host.
Details:
Elastic Elasticsearch DoS Vulnerability (ESA-2021-15)
(OID: 1.3.6.1.4.1.25623.1.0.146386)
Version used: 2025-09-03T08:26:15Z
","","","DFN-CERT-2025-0933,DFN-CERT-2022-2315,WID-SEC-2022-1777",""
172.31.1.65,es56.trabalho_vulnnet,9200,tcp,6.5,Medium,30,"VendorFix","Elastic Elasticsearch < 6.8.12, 7.x < 7.9.0 Information Disclosure Vulnerability - Linux","Elasticsearch is prone to a field disclosure vulnerability.","Installed version: 5.6.16
Fixed version:     6.8.12
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.144430,"CVE-2020-7019",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,a557cf37-e63d-404b-93dc-0f04b104540e,"An attacker could gain additional permissions against a restricted index.","Update to version 6.8.12, 7.9.1 or later.","Elasticsearch prior to version 6.8.12 and 7.9.0.","A field disclosure flaw was found in Elasticsearch when running a scrolling
  search with Field Level Security. If a user runs the same query another more privileged user recently ran, the
  scrolling search can leak fields that should be hidden.","Checks if a vulnerable version is present on the target host.
Details:
Elastic Elasticsearch < 6.8.12, 7.x < 7.9.0 Information Disclosure Vulnerabi...
(OID: 1.3.6.1.4.1.25623.1.0.144430)
Version used: 2025-09-03T08:26:15Z
","","","",""
172.31.1.65,es56.trabalho_vulnnet,9200,tcp,5.9,Medium,30,"VendorFix","Elastic Elasticsearch < 6.8.2, 7.x < 7.2.1 Information Disclosure Vulnerability (ESA-2019-07) - Linux","Elasticsearch is prone to an information disclosure vulnerability.","Installed version: 5.6.16
Fixed version:     6.8.2
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.117161,"CVE-2019-7614",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,99ea2304-0718-40c4-94d1-81966ef76a40,"On a system with multiple users submitting requests, it could be possible
  for an attacker to gain access to response header containing sensitive data from another user.","Update to version 6.8.2 or 7.2.1 respectively.","Elasticsearch through version 6.8.1 and version 7.0.0 through 7.2.0.","A race condition flaw was found in the response headers Elasticsearch
  returns to a request.","Checks if a vulnerable version is present on the target host.
Details:
Elastic Elasticsearch < 6.8.2, 7.x < 7.2.1 Information Disclosure Vulnerabil...
(OID: 1.3.6.1.4.1.25623.1.0.117161)
Version used: 2025-09-03T08:26:15Z
","","","WID-SEC-2024-3184",""
172.31.1.65,es56.trabalho_vulnnet,9200,tcp,5.3,Medium,80,"VendorFix","Elastic Elasticsearch Multiple Vulnerabilities (ESA-2021-06, ESA-2021-08)","Elasticsearch is prone to multiple vulnerabilities.","Installed version: 5.6.16
Fixed version:     6.8.15
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.145940,"CVE-2021-22135,CVE-2021-22137",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,09974de7-1d61-4311-8471-5150aee764c5,"This could lead to disclosing the existence of documents and
  fields the attacker should not be able to view or result in an attacker gaining additional insight
  into potentially sensitive indices.","Update to version 6.8.15, 7.12.0 or later.","Elasticsearch versions prior to versions 6.8.15 or 7.12.0.","The following vulnerabilities exist:

  - CVE-2021-22135: Suggester & Profile API information disclosure flaw

  - CVE-2021-22137: Field disclosure flaw","Checks if a vulnerable version is present on the target host.
Details:
Elastic Elasticsearch Multiple Vulnerabilities (ESA-2021-06, ESA-2021-08)
(OID: 1.3.6.1.4.1.25623.1.0.145940)
Version used: 2025-09-03T08:26:15Z
","","","DFN-CERT-2025-0933,WID-SEC-2022-0720",""
172.31.1.65,es56.trabalho_vulnnet,9200,tcp,4.9,Medium,80,"VendorFix","Elastic Elasticsearch Information Disclosure Vulnerability (ESA-2021-03)","Elasticsearch is prone to an information disclosure vulnerability.","Installed version: 5.6.16
Fixed version:     6.8.14
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.145383,"CVE-2020-7021",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,6d35eda1-6e92-4a69-b772-0658fadf11ab,"This could allow an Elasticsearch administrator to view sensitive details.","Update to version 6.8.14, 7.10.0 or later.","Elasticsearch versions prior to 6.8.14 and 7.0.0 prior to 7.10.0.","Elasticsearch has an information disclosure issue when audit logging and
  the emit_request_body option is enabled. The Elasticsearch audit log could contain sensitive information
  such as password hashes or authentication tokens.","Checks if a vulnerable version is present on the target host.
Details:
Elastic Elasticsearch Information Disclosure Vulnerability (ESA-2021-03)
(OID: 1.3.6.1.4.1.25623.1.0.145383)
Version used: 2025-09-03T08:26:15Z
","","","DFN-CERT-2025-0933",""
172.31.1.65,es56.trabalho_vulnnet,9200,tcp,3.1,Low,80,"VendorFix","Elastic Elasticsearch Information Disclosure Vulnerability (ESA-2020-13)","Elasticsearch is prone to an information disclosure vulnerability.","Installed version: 5.6.16
Fixed version:     6.8.13
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.117181,"CVE-2020-7020",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,591b997b-7f55-40a1-b372-a47049798cc2,"This could result in the search disclosing the existence of documents
  the attacker should not be able to view. This could result in an attacker gaining additional insight
  into potentially sensitive indices.","Update to version 6.8.13, 7.9.2 or later.","Elasticsearch versions before 6.8.13 and 7.x before 7.9.2.","A document disclosure flaw was found in Elasticsearch when Document or
  Field Level Security is used. Search queries do not properly preserve security permissions when executing
  certain complex queries.","Checks if a vulnerable version is present on the target host.
Details:
Elastic Elasticsearch Information Disclosure Vulnerability (ESA-2020-13)
(OID: 1.3.6.1.4.1.25623.1.0.117181)
Version used: 2025-09-03T08:26:15Z
","","","DFN-CERT-2025-0933,DFN-CERT-2022-1530,WID-SEC-2022-0607",""
