IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.31.1.35,couchdb16.trabalho_vulnnet,5984,tcp,9.8,Critical,30,"VendorFix","Apache CouchDB < 3.2.2 Privilege Escalation Vulnerability - Linux - Version Check","Apache CouchDB is prone to a privilege escalation
  vulnerability.","Installed version: 1.6.1
Fixed version:     3.2.2
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.148035,"CVE-2022-24706",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:42:09Z,df7c310b-deb2-4f8d-b3e2-a51b36421007,"","Update to version 3.2.2 or later.","Apache CouchDB version 3.2.1 and prior.","An attacker can access an improperly secured default
  installation without authenticating and gain admin privileges. The CouchDB documentation has
  always made recommendations for properly securing an installation, including recommending using a
  firewall in front of all CouchDB installations.","Checks if a vulnerable version is present on the target host.
Details:
Apache CouchDB < 3.2.2 Privilege Escalation Vulnerability - Linux - Version ...
(OID: 1.3.6.1.4.1.25623.1.0.148035)
Version used: 2025-01-21T05:37:33Z
","","","",""
172.31.1.35,couchdb16.trabalho_vulnnet,5984,tcp,9.8,Critical,30,"VendorFix","Apache CouchDB 1.x < 1.7.0, 2.x < 2.1.1 Multiple Vulnerabilities - Linux","Apache CouchDB is prone to multiple vulnerabilities.","Installed version: 1.6.1
Fixed version:     1.7.0
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.107258,"CVE-2017-12635,CVE-2017-12636",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:42:09Z,13970891-0f5c-4a82-9137-e05cc8335303,"These vulnerabilities can be used to give non-admin users access to
  arbitrary shell commands on the server as the database system user.","Update to version 1.7.0, 2.1.1 or later.","Apache CouchDB version 1.x prior to 1.7.0 and 2.x prior to
  2.1.1.","The vulnerabilities are due to differences in the Erlang-based
  JSON parser and JavaScript-based JSON parser.","Checks if a vulnerable version is present on the target host.
Details:
Apache CouchDB 1.x < 1.7.0, 2.x < 2.1.1 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.107258)
Version used: 2024-11-22T15:40:47Z
","","","DFN-CERT-2018-1774,DFN-CERT-2017-2094,CB-K17/2004",""
172.31.1.35,couchdb16.trabalho_vulnnet,5984,tcp,7.3,High,30,"VendorFix","Apache CouchDB <= 3.1.1 Privilege Escalation Vulnerability - Linux","Apache CouchDB is prone to a privilege escalation vulnerability.","Installed version: 1.6.1
Fixed version:     3.1.2 / 3.2.0
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.146930,"CVE-2021-38295",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:42:09Z,1c62cdfc-b9a1-4499-965b-15d2172df4ae,"This privilege escalation vulnerability allows an attacker to
  add or remove data in any database or make configuration changes.","Update to version 3.1.2, 3.2.0 or later.","Apache CouchDB version 3.1.1 and prior.","A malicious user with permission to create documents in a
  database is able to attach a HTML attachment to a document. If a CouchDB admin opens that
  attachment in a browser, e.g. via the CouchDB admin interface Fauxton, any JavaScript code
  embedded in that HTML attachment will be executed within the security context of that admin. A
  similar route is available with the already deprecated _show and _list functionality.","Checks if a vulnerable version is present on the target host.
Details:
Apache CouchDB <= 3.1.1 Privilege Escalation Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.146930)
Version used: 2025-01-21T05:37:33Z
","","","",""
172.31.1.35,couchdb16.trabalho_vulnnet,5984,tcp,7.2,High,30,"VendorFix","Apache CouchDB < 2.3.0 Remote Privilege Escalation Vulnerability - Linux","CouchDB is prone to a remote privilege escalation vulnerability.","Installed version: 1.6.1
Fixed version:     2.3.0
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.112475,"CVE-2018-17188",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:42:09Z,9ba94c44-c1f9-4e7b-b1f6-a6ff063c92c9,"Together with other vulnerabilities, it allowed full system entry
  for unauthenticated users.","Update to version 2.3.0 or later.","Apache CouchDB version 2.2.0 and prior.","CouchDB allowed for runtime-configuration of key components of
  the database. In some cases, this lead to vulnerabilities where CouchDB admin users could access the
  underlying operating system as the CouchDB user.","Checks if a vulnerable version is present on the target host.
Details:
Apache CouchDB < 2.3.0 Remote Privilege Escalation Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.112475)
Version used: 2025-01-21T05:37:33Z
","","","DFN-CERT-2020-0465",""
172.31.1.35,couchdb16.trabalho_vulnnet,5984,tcp,7.2,High,30,"VendorFix","Apache CouchDB 1.x < 1.7.2, 2.x < 2.1.2 Privilege Escalation Vulnerability - Linux","Apache CouchDB is prone to a privilege escalation
  vulnerability.","Installed version: 1.6.1
Fixed version:     1.7.2
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.813907,"CVE-2018-8007",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:42:09Z,8e21523c-b3a0-4f2b-ac59-8f84d6c35179,"Successful exploitation will allow attackers to escalate their
  privileges to that of the operating system's and execute arbitrary code.","Update to version 1.7.2, 2.1.2 or later.
  Please see the references for more information.","Apache CouchDB versions 1.x prior to 1.7.2 and 2.x prior to
  2.1.2.","The flaw is due to an insufficient validation of
  administrator-supplied configuration settings via the HTTP API.","Checks if a vulnerable version is present on the target host.
Details:
Apache CouchDB 1.x < 1.7.2, 2.x < 2.1.2 Privilege Escalation Vulnerability -...
(OID: 1.3.6.1.4.1.25623.1.0.813907)
Version used: 2024-11-22T15:40:47Z
","","","DFN-CERT-2020-0465,DFN-CERT-2018-1774",""
172.31.1.35,couchdb16.trabalho_vulnnet,5984,tcp,7.2,High,30,"VendorFix","Apache CouchDB < 2.2.0 Privilege Escalation Vulnerability - Linux","Apache CouchDB is prone to a privilege escalation vulnerability.","Installed version: 1.6.1
Fixed version:     2.2.0
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.813909,"CVE-2018-11769",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:42:09Z,dd925a55-01d3-4810-8a0d-6d090a0fff27,"Successful exploitation will allow attackers to escalate their
  privileges to that of the operating system's and remotely execute arbitrary code.","Update to version 2.2.0 or later.
  Please see the references for more information.","Apache CouchDB prior to version 2.2.0.","The flaw is due to an insufficient validation of
  administrator-supplied configuration settings via the HTTP API.","Checks if a vulnerable version is present on the target host.
Details:
Apache CouchDB < 2.2.0 Privilege Escalation Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.813909)
Version used: 2024-11-22T15:40:47Z
","","","DFN-CERT-2020-0465,DFN-CERT-2019-0331",""
172.31.1.35,couchdb16.trabalho_vulnnet,5984,tcp,5.7,Medium,30,"VendorFix","Apache CouchDB < 3.3.3 Privilege Escalation Vulnerability - Linux","Apache CouchDB is prone to a privilege escalation
  vulnerability.","Installed version: 1.6.1
Fixed version:     3.3.3
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.114221,"CVE-2023-45725",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:42:09Z,c38020b1-71ad-42a4-9e00-e73652f39b40,"","Update to version 3.3.3 or later.","Apache CouchDB version 3.3.2 and prior.","Design document functions which receive a user http request
  object may expose authorization or session cookie headers of the user who accesses the
  document.","Checks if a vulnerable version is present on the target host.
Details:
Apache CouchDB < 3.3.3 Privilege Escalation Vulnerability - Linux
(OID: 1.3.6.1.4.1.25623.1.0.114221)
Version used: 2023-12-26T05:05:23Z
","","","",""
172.31.1.35,couchdb16.trabalho_vulnnet,5984,tcp,5.3,Medium,30,"VendorFix","Apache CouchDB <= 3.2.2, 3.3.x <= 3.3.1 Information Disclosure Vulnerability - Linux","Apache CouchDB is prone to an information disclosure
  vulnerability.","Installed version: 1.6.1
Fixed version:     3.2.3
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.170462,"CVE-2023-26268",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:42:09Z,e2d80f76-5d6e-4fe0-a49b-3f7a02d2cd00,"","Update to version 3.2.3, 3.3.2 or later.","Apache CouchDB version 3.2.2 and prior and 3.3.x through
  3.3.1.","Design documents with matching document IDs, from databases on the
  same cluster, may share a mutable Javascript environment when using these design document functions:

  - validate_doc_update

  - list

  - filter

  - filter views (using view functions as filters)

  - rewrite

  - update

  This doesn't affect map/reduce or search (Dreyfus) index functions.","Checks if a vulnerable version is present on the target host.
Details:
Apache CouchDB <= 3.2.2, 3.3.x <= 3.3.1 Information Disclosure Vulnerability...
(OID: 1.3.6.1.4.1.25623.1.0.170462)
Version used: 2023-10-12T05:05:32Z
","","","",""
172.31.1.35,couchdb16.trabalho_vulnnet,,,2.6,Low,80,"Mitigation","TCP Timestamps Information Disclosure","The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","It was detected that the host implements RFC1323/RFC7323.

The following timestamps were retrieved with a delay of 1 seconds in-between:
Packet 1: 909682502
Packet 2: 909683610
",1.3.6.1.4.1.25623.1.0.80091,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:42:09Z,57a433f4-f4a1-44a7-83aa-e4c18d1f0cf6,"A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.","To disable TCP timestamps on linux add the line
  'net.ipv4.tcp_timestamps = 0' to /etc/sysctl.conf. Execute 'sysctl -p' to apply the settings at
  runtime.

  To disable TCP timestamps on Windows execute 'netsh int tcp set global timestamps=disabled'

  Starting with Windows Server 2008 and Vista, the timestamp can not be completely disabled.

  The default behavior of the TCP/IP stack on this Systems is to not use the Timestamp options when
  initiating TCP connections, but use them if the TCP peer that is initiating communication includes
  them in their synchronize (SYN) segment.

  See the references for more information.","TCP implementations that implement RFC1323/RFC7323.","The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","Special IP packets are forged and sent with a little delay in
  between to the target IP. The responses are searched for a timestamps. If found, the timestamps
  are reported.
Details:
TCP Timestamps Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.80091)
Version used: 2023-12-15T16:10:08Z
","","","",""
172.31.1.35,couchdb16.trabalho_vulnnet,,,2.1,Low,80,"Mitigation","ICMP Timestamp Reply Information Disclosure","The remote host responded to an ICMP timestamp request.","The following response / ICMP packet has been received:
- ICMP Type: 14
- ICMP Code: 0
",1.3.6.1.4.1.25623.1.0.103190,"CVE-1999-0524",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:42:09Z,65610b27-88aa-4132-ba1d-e7a4e2b9643b,"This information could theoretically be used to exploit weak
  time-based random number generators in other services.","Various mitigations are possible:

  - Disable the support for ICMP timestamp on the remote host completely

  - Protect the remote host by a firewall, and block ICMP packets passing through the firewall in
  either direction (either completely or only for untrusted networks)","","The Timestamp Reply is an ICMP message which replies to a
  Timestamp message. It consists of the originating timestamp sent by the sender of the Timestamp as
  well as a receive timestamp and a transmit timestamp.","Sends an ICMP Timestamp (Type 13) request and checks if a
  Timestamp Reply (Type 14) is received.
Details:
ICMP Timestamp Reply Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.103190)
Version used: 2025-01-21T05:37:33Z
","","","DFN-CERT-2014-0658,CB-K15/1514,CB-K14/0632",""
