IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.30.50.3,echo-server.trabalho_vulnnet,8080,tcp,7.5,High,50,"WillNotFix","GhostScripter Amazon Shop Multiple Vulnerabilities (Mar 2009) - Active Check","Amazon Shop is prone to multiple vulnerabilities, including a
  cross-site scripting issue, a directory-traversal issue, and multiple remote file-include issues,
  because it fails to sufficiently sanitize user-supplied data.","Vulnerable URL: http://echo-server.trabalho_vulnnet:8080/amazon/search.php?query=1<script>alert(document.cookie);</script>&mode=all
",1.3.6.1.4.1.25623.1.0.100024,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:34:58Z,d87bf18a-f7fe-43f4-a47b-61d28fbb0c1e,"An attacker can exploit these issues to run malicious PHP code
  in the context of the webserver process, run script code in an unsuspecting user's browser, steal
  cookie-based authentication credentials, or obtain sensitive information, other attacks are also
  possible.","No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore.
  General solution options are to upgrade to a newer release, disable respective features,
  remove the product or replace the product by another one.","","","
Details:
GhostScripter Amazon Shop Multiple Vulnerabilities (Mar 2009) - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.100024)
Version used: 2023-12-22T16:09:03Z
","","","",""
172.30.50.3,echo-server.trabalho_vulnnet,8080,tcp,7.5,High,50,"WillNotFix","Xplode Multiple Vulnerabilities (Apr 2009) - Active Check","Xplode is prone to an SQL injection (SQLi) vulnerability and a
  cross-site scripting (XSS) vulnerability because it fails to sufficiently sanitize user-supplied
  data.","Vulnerable URL: http://echo-server.trabalho_vulnnet:8080/cms/module_wrapper.asp?wrap_script=modules/Search+results/search.asp&SearchType=all&SearchString="">><script>alert(document.cookie)</script>
",1.3.6.1.4.1.25623.1.0.100113,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:34:58Z,479aa6a3-6a9d-4e7c-8b84-2a385dbd328b,"Exploiting these issues could allow an attacker to steal
  cookie-based authentication credentials, compromise the application, access or modify data, or
  exploit latent vulnerabilities in the underlying database.","No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore.
  General solution options are to upgrade to a newer release, disable respective features,
  remove the product or replace the product by another one.","","","Sends a crafted HTTP GET request and checks the response.
Details:
Xplode Multiple Vulnerabilities (Apr 2009) - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.100113)
Version used: 2024-06-13T05:05:46Z
","","","",""
172.30.50.3,echo-server.trabalho_vulnnet,8080,tcp,5.0,Medium,50,"WillNotFix","Turnkey eBook Store <= 1.1 XSS Vulnerability - Active Check","Turnkey eBook Store is prone to a cross-site scripting (XSS)
  vulnerability.","Vulnerable URL: http://echo-server.trabalho_vulnnet:8080/index.php?cmd=search&keywords=""><script>alert(document.cookie);</script>
",1.3.6.1.4.1.25623.1.0.100098,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:34:58Z,2d8eb2e6-ecf4-4708-9c8c-14bbcd172e9d,"","No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore.
  General solution options are to upgrade to a newer release, disable respective features,
  remove the product or replace the product by another one.","Turnkey eBook Store version 1.1 and probably prior.","An attacker may leverage this issue to execute arbitrary script
  code in the browser of an unsuspecting user in the context of the affected site and to steal
  cookie-based authentication credentials.","Sends a crafted HTTP GET request and checks the response.
Details:
Turnkey eBook Store <= 1.1 XSS Vulnerability - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.100098)
Version used: 2023-12-13T05:05:23Z
","","","",""
172.30.50.3,echo-server.trabalho_vulnnet,8080,tcp,4.3,Medium,50,"VendorFix","Gallarific Multiple Vulnerabilities (Oct 2009) - Active Check","Gallarific is prone to a cross-site scripting (XSS)
  vulnerability and multiple authentication bypass vulnerabilities.","Vulnerable URL: http://echo-server.trabalho_vulnnet:8080/photos/search.php?dosearch=true&query=""><script>alert(document.cookie)</script>
",1.3.6.1.4.1.25623.1.0.100309,"CVE-2008-1326",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:34:58Z,da56cf90-ef47-47b4-86a7-8f6308dff9d7,"An attacker may leverage these issues to execute arbitrary
  script code in the browser of an unsuspecting user in the context of the affected site, steal
  cookie-based authentication credentials, add new categories, add new users, and modify existing
  users. Other attacks are also possible.","Updates are available. Please contact the vendor for
  details.","These issues affect both the commercial and the free versions
  of Gallarific.","","Sends a crafted HTTP GET request and checks the response.
Details:
Gallarific Multiple Vulnerabilities (Oct 2009) - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.100309)
Version used: 2023-12-13T05:05:23Z
","","","",""
172.30.50.3,echo-server.trabalho_vulnnet,8080,tcp,4.3,Medium,50,"WillNotFix","Multiple EditeurScripts Products msg Parameter Cross Site Scripting Vulnerability","Multiple EditeurScripts products are prone to a cross-site scripting
  vulnerability because they fail to sufficiently sanitize
  user-supplied data.","The following vulnerable EditeurScripts products were detected on the remote host:

  EsContacts
  EsBaseAdmin
  EsPartenaires
  EsNews

",1.3.6.1.4.1.25623.1.0.100049,"CVE-2008-6868",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:34:58Z,25844b49-6762-4bfc-b116-aeacb71f07ce,"An attacker may leverage this issue to execute arbitrary script code
  in the browser of an unsuspecting user in the context of the
  affected site. This may allow the attacker to steal cookie-based
  authentication credentials and to launch other attacks.","No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore.
  General solution options are to upgrade to a newer release, disable respective features,
  remove the product or replace the product by another one.","The following products and versions are affected:

  - EScontacts v1.0

  - EsBaseAdmin v2.1

  - EsPartenaires v1.0

  - EsNews v1.2

  Other versions may also be affected.","","
Details:
Multiple EditeurScripts Products 'msg' Parameter Cross Site Scripting Vulner...
(OID: 1.3.6.1.4.1.25623.1.0.100049)
Version used: 2023-12-13T05:05:23Z
","","","",""
172.30.50.3,echo-server.trabalho_vulnnet,8080,tcp,4.3,Medium,50,"Mitigation","Web Server Cross Site Scripting","The remote web server seems to be vulnerable to a cross-site
  scripting (XSS) vulnerability.","Vulnerable URL: http://echo-server.trabalho_vulnnet:8080/foo.jsp?param=<SCRIPT>foo</SCRIPT>.jsp
",1.3.6.1.4.1.25623.1.0.10815,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:34:58Z,ad7e9a4f-0a9c-4a35-b203-1576e7a04241,"This vulnerability would allow an attacker to make the server present the
  user with the attacker's JavaScript/HTML code.

  Since the content is presented by the server, the user will give it the trust level of the server (for example,
  the websites banks, shopping centers, etc. would usually be trusted by a user).","See the references for various background information.","","The vulnerability is caused by the result being returned to the
  user when a non-existing file is requested (e.g. the result contains script code provided in the
  request).","
Details:
Web Server Cross Site Scripting
(OID: 1.3.6.1.4.1.25623.1.0.10815)
Version used: 2024-06-27T05:05:29Z
","","","",""
172.30.50.3,echo-server.trabalho_vulnnet,8080,tcp,4.3,Medium,50,"VendorFix","BLOG:CMS <= 4.2.1.f Multiple XSS Vulnerabilities - Active Check","BLOG:CMS is prone to multiple cross-site scripting (XSS)
  vulnerabilities because it fails to properly sanitize user-supplied input.","Vulnerable URL: http://echo-server.trabalho_vulnnet:8080/blog/photo/templates/admin_default/confirm.tpl.php?nsextt=""><script>alert(/openvasvt/);</script>
",1.3.6.1.4.1.25623.1.0.103178,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:34:58Z,2cefccef-5cc7-4a82-8cf3-a722af2e3b89,"An attacker may leverage these issues to execute arbitrary
  script code in the browser of an unsuspecting user in the context of the affected site. This may
  let the attacker steal cookie-based authentication credentials and launch other attacks.","See the references for a solution.","BLOG:CMS version 4.2.1.f and prior.","","Sends a crafted HTTP GET request and checks the response.
Details:
BLOG:CMS <= 4.2.1.f Multiple XSS Vulnerabilities - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.103178)
Version used: 2023-12-13T05:05:23Z
","","","",""
172.30.50.3,echo-server.trabalho_vulnnet,8080,tcp,4.3,Medium,50,"VendorFix","DHCart < 3.88 Multiple Vulnerabilities - Active Check","DHCart is prone to multiple cross-site scripting (XSS) and
  HTML injection vulnerabilities because it fails to sufficiently sanitize user-supplied data.","Vulnerable URL: http://echo-server.trabalho_vulnnet:8080/order.php?dhaction=check&submit_domain=Register&domain=<script>alert(document.cookie);</script>&ext1=on
",1.3.6.1.4.1.25623.1.0.100028,"CVE-2008-6297",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:34:58Z,e55928af-2cf4-46ad-9a12-61bfe8348604,"Attacker-supplied HTML or JavaScript code could run in the
  context of the affected site, potentially allowing the attacker to steal cookie-based
  authentication credentials and to control how the site is rendered to the user, other attacks are
  also possible.","Update to version 3.88 or later.","DHCart version 3.84 and prior.","","Sends a crafted HTTP GET request and checks the response.
Details:
DHCart < 3.88 Multiple Vulnerabilities - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.100028)
Version used: 2023-12-13T05:05:23Z
","","","",""
172.30.50.3,echo-server.trabalho_vulnnet,,,2.6,Low,80,"Mitigation","TCP Timestamps Information Disclosure","The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","It was detected that the host implements RFC1323/RFC7323.

The following timestamps were retrieved with a delay of 1 seconds in-between:
Packet 1: 3023981384
Packet 2: 3023982480
",1.3.6.1.4.1.25623.1.0.80091,"",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:34:58Z,b2b9d4f0-10c1-4db9-bf92-a61871a691b5,"A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.","To disable TCP timestamps on linux add the line
  'net.ipv4.tcp_timestamps = 0' to /etc/sysctl.conf. Execute 'sysctl -p' to apply the settings at
  runtime.

  To disable TCP timestamps on Windows execute 'netsh int tcp set global timestamps=disabled'

  Starting with Windows Server 2008 and Vista, the timestamp can not be completely disabled.

  The default behavior of the TCP/IP stack on this Systems is to not use the Timestamp options when
  initiating TCP connections, but use them if the TCP peer that is initiating communication includes
  them in their synchronize (SYN) segment.

  See the references for more information.","TCP implementations that implement RFC1323/RFC7323.","The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","Special IP packets are forged and sent with a little delay in
  between to the target IP. The responses are searched for a timestamps. If found, the timestamps
  are reported.
Details:
TCP Timestamps Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.80091)
Version used: 2023-12-15T16:10:08Z
","","","",""
172.30.50.3,echo-server.trabalho_vulnnet,,,2.1,Low,80,"Mitigation","ICMP Timestamp Reply Information Disclosure","The remote host responded to an ICMP timestamp request.","The following response / ICMP packet has been received:
- ICMP Type: 14
- ICMP Code: 0
",1.3.6.1.4.1.25623.1.0.103190,"CVE-1999-0524",df0632e3-a4eb-4954-8781-6af14a1a4240," hgdfdghgdgd",2026-01-26T10:34:58Z,7a4c2fca-3c32-4322-b5d3-bb739d08094c,"This information could theoretically be used to exploit weak
  time-based random number generators in other services.","Various mitigations are possible:

  - Disable the support for ICMP timestamp on the remote host completely

  - Protect the remote host by a firewall, and block ICMP packets passing through the firewall in
  either direction (either completely or only for untrusted networks)","","The Timestamp Reply is an ICMP message which replies to a
  Timestamp message. It consists of the originating timestamp sent by the sender of the Timestamp as
  well as a receive timestamp and a transmit timestamp.","Sends an ICMP Timestamp (Type 13) request and checks if a
  Timestamp Reply (Type 14) is received.
Details:
ICMP Timestamp Reply Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.103190)
Version used: 2025-01-21T05:37:33Z
","","","DFN-CERT-2014-0658,CB-K15/1514,CB-K14/0632",""
