IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      172.31.1.55,gitlab10.trabalho_vulnnet,22,tcp,9.8,Critical,30,"VendorFix","OpenBSD OpenSSH < 9.3p2 RCE Vulnerability","OpenBSD OpenSSH is prone to a remote code execution (RCE)
  vulnerability in OpenSSH's forwarded ssh-agent.","Installed version: 7.2p2
Fixed version:     9.3p2
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.104869,"CVE-2023-38408",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,427e74f5-d2fe-4427-a3f4-20e6f59b41db,"","Update to version 9.3p2 or later.","OpenBSD OpenSSH prior to version 9.3p2.

  The following conditions needs to be met:

  - Exploitation requires the presence of specific libraries on the victim system.

  - Remote exploitation requires that the agent was forwarded to an attacker-controlled system.","A condition where specific libraries loaded via ssh-agent(1)'s
  PKCS#11 support could be abused to achieve remote code execution via a forwarded agent socket.","Checks if a vulnerable version is present on the target host.
Details:
OpenBSD OpenSSH < 9.3p2 RCE Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.104869)
Version used: 2023-10-13T05:06:10Z
","Product: cpe:/a:openbsd:openssh:7.2p2
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2026-0097,DFN-CERT-2025-2802,DFN-CERT-2024-1260,DFN-CERT-2024-0491,DFN-CERT-2023-2792,DFN-CERT-2023-2179,DFN-CERT-2023-1961,DFN-CERT-2023-1920,DFN-CERT-2023-1845,DFN-CERT-2023-1773,DFN-CERT-2023-1665,WID-SEC-2024-3195,WID-SEC-2024-1248,WID-SEC-2024-1082,WID-SEC-2024-0064,WID-SEC-2023-2679,WID-SEC-2023-2625,WID-SEC-2023-2240,WID-SEC-2023-1843,WID-SEC-2023-1819",""
172.31.1.55,gitlab10.trabalho_vulnnet,22,tcp,7.8,High,30,"VendorFix","OpenSSH <= 7.2p2 Privilege Escalation Vulnerability (May 2016)","OpenSSH is prone to a privilege escalation vulnerability.","Installed version: 7.2p2
Fixed version:     7.2p2-3
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.807574,"CVE-2015-8325",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,060d17c1-8faf-413c-adfa-0631025b4b68,"Successfully exploiting this issue will allow local users to gain
  privileges.","Update to version 7.2p2-3 or later.","OpenSSH versions through 7.2p2.","The flaw exists due to an error in 'do_setup_env function' in
  the 'session.c' script in sshd which trigger a crafted environment for the /bin/login program when
  the UseLogin feature is enabled and PAM is configured to read .pam_environment files in user home
  directories.","Checks if a vulnerable version is present on the target host.
Details:
OpenSSH <= 7.2p2 Privilege Escalation Vulnerability (May 2016)
(OID: 1.3.6.1.4.1.25623.1.0.807574)
Version used: 2024-12-13T05:05:32Z
","Product: cpe:/a:openbsd:openssh:7.2p2
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2019-1408,DFN-CERT-2017-1807,DFN-CERT-2017-0060,DFN-CERT-2017-0059,DFN-CERT-2016-1943,DFN-CERT-2016-1576,DFN-CERT-2016-1574,DFN-CERT-2016-1243,DFN-CERT-2016-0864,DFN-CERT-2016-0733,DFN-CERT-2016-0628,WID-SEC-2024-1053,CB-K17/1725,CB-K17/0055,CB-K17/0054,CB-K16/1837,CB-K16/1487,CB-K16/1485,CB-K16/1221,CB-K16/0684,CB-K16/0577",""
172.31.1.55,gitlab10.trabalho_vulnnet,22,tcp,7.8,High,30,"VendorFix","OpenSSH < 7.4 Multiple Vulnerabilities (Jan 2017) - Linux","OpenSSH is prone to multiple vulnerabilities.","Installed version: 7.2p2
Fixed version:     7.4
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.8103256,"CVE-2016-10009,CVE-2016-10010,CVE-2016-10011,CVE-2016-10012,CVE-2016-10708",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,3df863ae-bf28-40f5-8b22-85c9e5798c37,"Successfully exploiting this issue allows local users to obtain
  sensitive private-key information, to gain privileges, conduct a senial-of-service condition and
  allows remote attackers to execute arbitrary local PKCS#11 modules.","Update to version 7.4 or later.","OpenSSH versions before 7.4 on Linux.","Multiple flaws exist due to:

  - An 'authfile.c' script does not properly consider the effects of realloc on buffer contents.

  - The shared memory manager (associated with pre-authentication compression) does not ensure that
  a bounds check is enforced by all compilers.

  - The sshd in OpenSSH creates forwarded Unix-domain sockets as root, when privilege separation is
  not used.

  - An untrusted search path vulnerability in ssh-agent.c in ssh-agent.

  - NULL pointer dereference error due to an out-of-sequence NEWKEYS message.","Checks if a vulnerable version is present on the target host.
Details:
OpenSSH < 7.4 Multiple Vulnerabilities (Jan 2017) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.8103256)
Version used: 2024-12-13T05:05:32Z
","Product: cpe:/a:openbsd:openssh:7.2p2
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2021-0776,DFN-CERT-2019-1408,DFN-CERT-2018-2259,DFN-CERT-2018-2191,DFN-CERT-2018-2068,DFN-CERT-2018-1828,DFN-CERT-2018-1568,DFN-CERT-2018-1432,DFN-CERT-2018-1112,DFN-CERT-2018-1070,DFN-CERT-2018-1068,DFN-CERT-2018-0150,DFN-CERT-2018-0046,DFN-CERT-2017-2320,DFN-CERT-2017-2208,DFN-CERT-2017-1340,DFN-CERT-2017-1096,DFN-CERT-2017-0532,DFN-CERT-2017-0386,DFN-CERT-2017-0130,DFN-CERT-2017-0042,DFN-CERT-2016-2099,WID-SEC-2023-1996,CB-K18/0919,CB-K18/0591,CB-K18/0137,CB-K18/0041,CB-K17/2219,CB-K17/2112,CB-K17/1292,CB-K17/1061,CB-K17/0527,CB-K17/0377,CB-K17/0127,CB-K17/0041,CB-K16/1991",""
172.31.1.55,gitlab10.trabalho_vulnnet,22,tcp,7.5,High,30,"VendorFix","OpenSSH < 7.3 DoS and User Enumeration Vulnerabilities - Linux","OpenSSH is prone to denial of service (DoS) and user enumeration
  vulnerabilities.","Installed version: 7.2p2
Fixed version:     7.3
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.809154,"CVE-2016-6515,CVE-2016-6210",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,490f5dc7-f047-4baa-90f5-0148cc25e673,"Successfully exploiting this issue allows remote attackers to
  cause a denial of service (crypt CPU consumption) and to enumerate users by leveraging the timing
  difference between responses when a large password is provided.","Update to version 7.3 or later.","OpenSSH versions before 7.3 on Linux.","Multiple flaws exist due to:

  - The auth_password function in 'auth-passwd.c' script does not limit password lengths for
  password authentication.

  - The sshd in OpenSSH, when SHA256 or SHA512 are used for user password hashing uses BLOWFISH
  hashing on a static password when the username does not exist and it takes much longer to
  calculate SHA256/SHA512 hash than BLOWFISH hash.","Checks if a vulnerable version is present on the target host.
Details:
OpenSSH < 7.3 DoS and User Enumeration Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.809154)
Version used: 2024-12-13T05:05:32Z
","Product: cpe:/a:openbsd:openssh:7.2p2
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2023-1920,DFN-CERT-2019-1408,DFN-CERT-2018-1828,DFN-CERT-2018-1070,DFN-CERT-2018-0046,DFN-CERT-2017-2320,DFN-CERT-2017-2208,DFN-CERT-2017-1831,DFN-CERT-2017-1407,DFN-CERT-2017-1340,DFN-CERT-2017-0060,DFN-CERT-2016-1943,DFN-CERT-2016-1729,DFN-CERT-2016-1576,DFN-CERT-2016-1574,DFN-CERT-2016-1331,DFN-CERT-2016-1243,DFN-CERT-2016-1149,WID-SEC-2023-0450,WID-SEC-2023-0449,CB-K18/0041,CB-K17/2219,CB-K17/2112,CB-K17/1753,CB-K17/1349,CB-K17/1292,CB-K17/0055,CB-K16/1837,CB-K16/1629,CB-K16/1487,CB-K16/1485,CB-K16/1252,CB-K16/1221,CB-K16/1082",""
172.31.1.55,gitlab10.trabalho_vulnnet,80,tcp,7.5,High,98,"Mitigation","GitLab Uninitialized Admin Password (HTTP) - Active Check","The remote GitLab instance is not initialized with an admin
  password.","Vulnerable URLs:
http://gitlab10.trabalho_vulnnet/users/sign_in
http://gitlab10.trabalho_vulnnet/users/password/edit?reset_password_token=JiRvy15K87HRW-syVhdJ
",1.3.6.1.4.1.25623.1.0.117994,"",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,f5dd36ae-25bb-42a3-b062-65e0b616cc50,"An unauthenticated remote user might finish the setup of the
  remote GitLab instance and take full control over it.","Finish the instance setup by setting an admin password.","GitLab in all versions prior to 14.0 if the initial admin
  password was not set-up during the instance installation.","","Sends a crafted HTTP GET request and checks the response.
Details:
GitLab Uninitialized Admin Password (HTTP) - Active Check
(OID: 1.3.6.1.4.1.25623.1.0.117994)
Version used: 2022-03-23T07:37:22Z
","","","",""
172.31.1.55,gitlab10.trabalho_vulnnet,22,tcp,7.5,High,30,"Mitigation","Diffie-Hellman Ephemeral Key Exchange DoS Vulnerability (SSH, D(HE)ater)","The remote SSH server is supporting Diffie-Hellman ephemeral
  (DHE) Key Exchange (KEX) algorithms and thus could be prone to a denial of service (DoS)
  vulnerability.","The remote SSH server supports the following DHE KEX algorithm(s):

diffie-hellman-group14-sha1
diffie-hellman-group-exchange-sha256
",1.3.6.1.4.1.25623.1.0.117839,"CVE-2002-20001,CVE-2022-40735,CVE-2024-41996",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,81ebaf91-3daf-45af-961f-5311d3b52aba,"This vulnerability allows remote attackers (from the client side)
  to send arbitrary numbers that are actually not public keys, and trigger expensive server-side DHE
  modular-exponentiation calculations, also known as a D(HE)ater attack.

  There could be an increase in CPU usage in the affected component. For OpenSSH, users may observe
  issues such as a slowdown in SSH connections.","'- DHE key exchange should be disabled if no other mitigation
  mechanism can be used and either elliptic-curve variant of Diffie-Hellman (ECDHE) or RSA key
  exchange is supported by the clients. The fact that RSA key exchange is not forward secret should
  be considered.

  - Limit the maximum number of concurrent connections in e.g. the configuration of the remote
  server. For OpenSSH this limit can be configured via the 'MaxStartups' option, for other products
  please refer to the manual of the product in question on configuration possibilities.","","'- CVE-2002-20001: The Diffie-Hellman Key Agreement Protocol
  allows remote attackers (from the client side) to send arbitrary numbers that are actually not
  public keys, and trigger expensive server-side DHE modular-exponentiation calculations, aka a
  D(HE)ater attack. The client needs very little CPU resources and network bandwidth. The attack may
  be more disruptive in cases where a client can require a server to select its largest supported
  key size. The basic attack scenario is that the client must claim that it can only communicate
  with DHE, and the server must be configured to allow DHE.

  - CVE-2022-40735: The Diffie-Hellman Key Agreement Protocol allows use of long exponents that
  arguably make certain calculations unnecessarily expensive, because the 1996 van Oorschot and
  Wiener paper found that '(appropriately) short exponents' can be used when there are adequate
  subgroup constraints, and these short exponents can lead to less expensive calculations than for
  long exponents. This issue is different from CVE-2002-20001 because it is based on an observation
  about exponent size, rather than an observation about numbers that are not public keys. The
  specific situations in which calculation expense would constitute a server-side vulnerability
  depend on the protocol (e.g., TLS, SSH, or IKE) and the DHE implementation details. In general,
  there might be an availability concern because of server-side resource consumption from DHE
  modular-exponentiation calculations. Finally, it is possible for an attacker to exploit this
  vulnerability and CVE-2002-20001 together.

  - CVE-2024-41996: Validating the order of the public keys in the Diffie-Hellman Key Agreement
  Protocol, when an approved safe prime is used, allows remote attackers (from the client side) to
  trigger unnecessarily expensive server-side DHE modular-exponentiation calculations. The client
  may cause asymmetric resource consumption. The basic attack scenario is that the client must claim
  that it can only communicate with DHE, and the server must be configured to allow DHE and validate
  the order of the public key.","Checks the supported KEX algorithms of the remote SSH
  server.
Details:
Diffie-Hellman Ephemeral Key Exchange DoS Vulnerability (SSH, D(HE)ater)
(OID: 1.3.6.1.4.1.25623.1.0.117839)
Version used: 2024-10-03T05:05:33Z
","Product: cpe:/a:ietf:secure_shell_protocol
Method: SSH Protocol Algorithms Supported
(OID: 1.3.6.1.4.1.25623.1.0.105565)
","","DFN-CERT-2025-3324,DFN-CERT-2024-2847,DFN-CERT-2024-2578,DFN-CERT-2024-1671,DFN-CERT-2023-1697,DFN-CERT-2023-1332,DFN-CERT-2022-2147,DFN-CERT-2022-0437,DFN-CERT-2021-2622,WID-SEC-2024-3056,WID-SEC-2023-1886,WID-SEC-2023-1352,WID-SEC-2022-2251,WID-SEC-2022-2000,CB-K22/0224,CB-K21/1276",""
172.31.1.55,gitlab10.trabalho_vulnnet,22,tcp,7.4,High,30,"WillNotFix","OpenBSD OpenSSH <= 8.6 Command Injection Vulnerability","OpenBSD OpenSSH is prone to a command injection
  vulnerability.","Installed version: 7.2p2
Fixed version:     None
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.113736,"CVE-2020-15778",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,bf331101-2661-4bb8-a8a7-35eba9f22990,"Successful exploitation would allow an attacker to execute
  arbitrary code on the target machine.","No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore. General solution
  options are to upgrade to a newer release, disable respective features, remove the product or
  replace the product by another one.","OpenBSD OpenSSH through version 8.6 (initially reported for
  8.3p1).","scp of OpenSSH allows command injection in spc.c via backtick
  characters in the destination argument.","Checks if a vulnerable version is present on the target host.
Details:
OpenBSD OpenSSH <= 8.6 Command Injection Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.113736)
Version used: 2025-07-29T05:44:59Z
","Product: cpe:/a:openbsd:openssh:7.2p2
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2024-1260,DFN-CERT-2020-1691,WID-SEC-2024-1082,WID-SEC-2023-1599,WID-SEC-2022-2413,WID-SEC-2022-1308,CB-K21/1268",""
172.31.1.55,gitlab10.trabalho_vulnnet,22,tcp,7.0,High,30,"VendorFix","OpenSSH 6.2 <= 8.7 Privilege Escalation Vulnerability","OpenSSH is prone to a privilege scalation vulnerability in
  certain configurations.","Installed version: 7.2p2
Fixed version:     8.8
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.117696,"CVE-2021-41617",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,25f71610-262c-4ba2-9a72-0ec920f7f838,"","Update to version 8.8 or later.","OpenSSH versions 6.2 through 8.7.","sshd failed to correctly initialise supplemental groups when
  executing an AuthorizedKeysCommand or AuthorizedPrincipalsCommand, where a
  AuthorizedKeysCommandUser or AuthorizedPrincipalsCommandUser directive has been set to run the
  command as a different user. Instead these commands would inherit the groups that sshd was started
  with.

  Depending on system configuration, inherited groups may allow
  AuthorizedKeysCommand/AuthorizedPrincipalsCommand helper programs to gain unintended privilege.

  Neither AuthorizedKeysCommand nor AuthorizedPrincipalsCommand are enabled by default in
  sshd_config.","Checks if a vulnerable version is present on the target host.
Details:
OpenSSH 6.2 <= 8.7 Privilege Escalation Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.117696)
Version used: 2021-10-11T08:01:31Z
","Product: cpe:/a:openbsd:openssh:7.2p2
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2024-1260,DFN-CERT-2024-0022,DFN-CERT-2023-3218,DFN-CERT-2023-3210,DFN-CERT-2022-1571,DFN-CERT-2022-0579,DFN-CERT-2021-2586,DFN-CERT-2021-2017,DFN-CERT-2021-2015,WID-SEC-2024-1082,WID-SEC-2023-1969,WID-SEC-2023-0426,WID-SEC-2022-1308,WID-SEC-2022-0676,WID-SEC-2022-0534,CB-K22/0310,CB-K22/0011,CB-K21/1268,CB-K21/1017",""
172.31.1.55,gitlab10.trabalho_vulnnet,22,tcp,6.8,Medium,30,"VendorFix","OpenBSD OpenSSH <= 7.9 Multiple Vulnerabilities","OpenBSD OpenSSH is prone to multiple vulnerabilities.","Installed version: 7.2p2
Fixed version:     8.0
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.117786,"CVE-2018-20685,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,3b080693-6984-451f-ace8-0831faf1fc16,"","Update to version 8.0 or later.","OpenBSD OpenSSH versions 7.9 and prior.","The following flaws exist:

  - CVE-2018-20685: bypass of intended access restrictions in the scp client

  - CVE-2019-6109, CVE-2019-6110: manipulation of the output in the scp client by a malicious server

  - CVE-2019-6111: overwrite of arbitrary files in the scp client by a malicious server","Checks if a vulnerable version is present on the target host.
Details:
OpenBSD OpenSSH <= 7.9 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.117786)
Version used: 2023-10-20T16:09:12Z
","Product: cpe:/a:openbsd:openssh:7.2p2
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2024-1260,DFN-CERT-2019-2157,DFN-CERT-2019-1470,DFN-CERT-2019-0970,DFN-CERT-2019-0776,DFN-CERT-2019-0563,DFN-CERT-2019-0415,DFN-CERT-2019-0357,DFN-CERT-2019-0275,DFN-CERT-2019-0136,DFN-CERT-2019-0094,WID-SEC-2024-1082,WID-SEC-2024-0872,WID-SEC-2023-1995,WID-SEC-2023-0561,CB-K19/0627,CB-K19/0312,CB-K19/0058,CB-K19/0037",""
172.31.1.55,gitlab10.trabalho_vulnnet,22,tcp,6.8,Medium,30,"VendorFix","OpenBSD OpenSSH 6.8p1 - 9.9p1 MitM Vulnerability","OpenBSD OpenSSH is prone to a man-in-the-middle (MitM)
  vulnerability.","Installed version: 7.2p2
Fixed version:     9.9p2
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.114946,"CVE-2025-26465",c3a5017a-43b2-42ce-9d3c-7964ffffa314,"metasploitable3 dsvw phpldapadmin-remote-dump metasploit-emulator shellshock-lab heartbleed-lab xvwa railsgoat-alt bwapp-alt metasploitable3-alt mongodb-noauth gitlab10 es56 sonar67",2026-01-26T16:36:01Z,a97d3886-3b7d-4c66-890a-d2e190b0d237,"","Update to version 9.9p2 or later.","OpenBSD OpenSSH versions 6.8p1 through 9.9p1.","ssh(1) in OpenSSH contained a logic error that allowed an
  on-path attacker (a.k.a MITM) to impersonate any server when the VerifyHostKeyDNS option is
  enabled. This option is off by default.","Checks if a vulnerable version is present on the target host.
Details:
OpenBSD OpenSSH 6.8p1 - 9.9p1 MitM Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.114946)
Version used: 2025-02-20T08:47:14Z
","Product: cpe:/a:openbsd:openssh:7.2p2
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2026-0097,DFN-CERT-2025-1201,DFN-CERT-2025-1200,DFN-CERT-2025-0993,DFN-CERT-2025-0819,DFN-CERT-2025-0470,DFN-CERT-2025-0428,WID-SEC-2025-1439,WID-SEC-2025-1007,WID-SEC-2025-0394",""
